Cohesion,Phi,Unit_weight,Pe,Ps,FSs,FSgmp,slope_angle,slope_height
3.49507,12.6482,18.5909,51.5805,33.4294,0.492264,0.492252,90.0,15.0
2.38526,23.5007,19.1351,42.1116,15.5924,0.870678,0.871129,90.0,6.0
9.40013,12.2523,21.6584,88.9194,11.3711,0.632095,0.633413,75.0,3.0
0.025832,38.3952,13.5487,6.79413,8.44338,1.47232,1.47226,90.0,6.0
3.9701,33.9715,16.4863,62.7963,16.2811,1.27548,1.28177,75.0,6.0
1.0903,12.402,18.8328,38.4297,81.4315,0.66373,0.685245,90.0,15.0
0.398581,30.5146,14.8254,1.52844,12.7113,1.08683,1.08729,90.0,12.0
7.76492,19.6266,14.1217,21.8872,100.998,2.05813,2.17333,90.0,12.0
19.7731,12.0025,20.8305,31.4532,118.118,1.24123,1.282,90.0,15.0
15.0717,38.2856,13.9089,74.2959,34.2124,2.81872,2.81873,90.0,3.0
14.6301,18.9617,15.921,31.2486,31.1355,1.16342,1.16378,60.0,15.0
14.68,10.1179,13.4121,86.1597,65.8484,0.904648,0.906147,90.0,12.0
0.367733,27.9032,17.4528,44.5283,10.2026,0.864366,0.860618,90.0,12.0
5.10383,20.3001,19.3073,32.4842,98.6813,1.42106,1.46738,75.0,15.0
4.88132,28.7616,19.4995,76.8587,19.3679,1.08379,1.08618,75.0,6.0
16.9984,39.5913,19.0751,20.884,19.0346,2.62885,2.66086,90.0,6.0
18.1407,32.4128,14.6714,35.0915,78.1139,2.99384,3.09558,90.0,12.0
3.91273,15.8074,17.1831,39.7868,9.9347,0.752175,0.754312,90.0,3.0
12.5506,33.1142,14.9213,64.8783,5.99009,1.28404,1.29044,75.0,9.0
2.77742,17.5606,17.362,75.9195,4.78054,0.546752,0.547983,75.0,3.0
11.0629,27.4663,13.698,72.8022,41.756,1.51159,1.51194,75.0,12.0
19.6424,14.9332,13.5907,22.151,7.77046,1.24144,1.23901,90.0,9.0
14.368,20.0284,18.351,30.5452,47.9702,1.21274,1.22625,75.0,15.0
9.89174,30.5096,17.4058,61.3967,7.44435,1.34702,1.34813,75.0,3.0
18.9743,32.9195,13.6701,93.2402,41.5768,2.24263,2.24253,90.0,6.0
8.38641,31.8213,14.6901,15.0456,3.25259,1.12208,1.12219,60.0,15.0
2.9681,37.8234,15.7118,54.0563,54.1289,2.58357,2.6496,90.0,6.0
0.796927,11.3059,19.4958,43.5195,27.9202,0.357645,0.35788,75.0,15.0
2.96691,38.3093,20.1739,55.2338,16.2267,1.34052,1.34084,75.0,9.0
8.44772,28.2379,13.509,34.9929,46.585,2.11208,2.14492,75.0,9.0
0.143141,17.1662,12.5547,21.7848,44.1073,0.933251,0.956117,75.0,12.0
16.5485,35.6557,13.2961,71.7341,51.2531,2.3568,2.35385,75.0,12.0
10.1621,25.5928,15.5324,56.0832,14.5611,1.45355,1.45524,75.0,3.0
