,Material 1 : Cohesion (kN/m2),Material 1 : Phi (deg),Material 1 : Unit Weight (kN/m3),Load #1 Magnitude (kN/m),Load #2 Magnitude (kN/m),Factor of Safety - spencer,Factor of Safety - gle/morgenstern-price,Unnamed: 7,slope_angle,slope_height
0,9.25214,27.0344,16.2721,25.7109,32.599,2.49411,2.49466,,30.0,15.0
1,12.8451,13.9206,16.3404,17.2906,30.7617,1.4897,1.48974,,30.0,15.0
2,10.3626,30.1019,15.2261,89.1311,21.9541,2.08996,2.08996,,30.0,15.0
3,8.00854,27.3663,14.5454,81.8012,29.9042,2.08155,2.0815,,30.0,15.0
4,12.3133,40.8389,19.4886,75.3521,33.2409,3.40537,3.40862,,30.0,15.0
5,5.51885,13.6477,20.9262,91.5072,45.8772,1.05983,1.06044,,30.0,15.0
6,9.60849,36.6256,13.364,95.4096,9.53161,2.10033,2.10282,,30.0,15.0
7,4.88406,24.9439,12.1014,1.69703,1.99578,1.34449,1.34376,,30.0,15.0
8,19.441,24.4347,20.2462,86.1016,42.5831,2.17284,2.17368,,30.0,15.0
9,8.72489,12.2857,20.3588,56.6237,3.86817,0.707732,0.704733,,30.0,15.0
10,9.53946,21.5231,14.3742,64.8108,14.113,1.4443,1.45084,,30.0,15.0
11,5.028,43.0035,19.2867,65.491,19.0968,2.94366,2.94661,,30.0,15.0
12,5.89513,30.6107,18.6819,25.342,7.63945,1.71784,1.72028,,30.0,15.0
13,18.4673,11.2863,12.7875,34.1217,41.3883,1.66346,1.66326,,30.0,15.0
14,15.5717,17.4909,21.9468,48.3004,16.5109,1.29844,1.3027,,30.0,15.0
15,5.8726,17.7398,15.9166,47.5093,21.1811,1.27797,1.2805,,30.0,15.0
16,2.55826,11.246,21.949,6.71072,8.02942,0.59631,0.596745,,30.0,15.0
17,13.5297,10.688,19.6785,88.8365,32.9339,0.947763,0.950367,,30.0,15.0
18,3.71966,13.5265,20.3903,5.62014,47.2203,1.27347,1.27324,,30.0,15.0
19,13.6633,14.8724,14.3845,8.13417,1.85014,1.14903,1.14897,,30.0,15.0
20,14.6642,34.0562,17.8351,61.4394,36.8906,3.06958,3.07243,,30.0,15.0
