Cohesion,Phi,Unit_weight,Pe,Ps,FSs,FSgmp,slope_angle,slope_height
9.25214,27.0344,16.2721,25.7109,65.198,1.97695,2.01425,60.0,15.0
12.8451,13.9206,16.3404,17.2906,61.5234,1.22958,1.25297,60.0,15.0
10.3626,30.1019,15.2261,89.1311,43.9082,1.55863,1.56072,60.0,15.0
8.00854,27.3663,14.5454,81.8012,59.8084,1.62134,1.62115,60.0,15.0
12.3133,40.8389,19.4886,75.3521,66.4819,2.57291,2.57134,60.0,15.0
5.51885,13.6477,20.9262,91.5072,91.7544,0.833251,0.828821,60.0,15.0
9.60849,36.6256,13.364,95.4096,19.0632,1.43599,1.43912,60.0,15.0
4.88406,24.9439,12.1014,1.69703,3.99156,0.882454,0.883335,60.0,15.0
19.441,24.4347,20.2462,86.1016,85.1662,1.73418,1.73136,60.0,15.0
8.72489,12.2857,20.3588,56.6237,7.73634,0.473039,0.473785,60.0,15.0
9.53946,21.5231,14.3742,64.8108,28.2261,1.02034,1.0211,60.0,15.0
5.028,43.0035,19.2867,65.491,38.1935,2.02247,2.02488,60.0,15.0
5.89513,30.6107,18.6819,25.342,15.2789,1.10458,1.1076,60.0,15.0
18.4673,11.2863,12.7875,34.1217,82.7765,1.46734,1.50196,60.0,15.0
15.5717,17.4909,21.9468,48.3004,33.0217,0.90758,0.908025,60.0,15.0
5.8726,17.7398,15.9166,47.5093,42.3621,0.950901,0.950747,60.0,15.0
2.55826,11.246,21.949,6.71072,16.0588,0.386386,0.387525,60.0,15.0
13.5297,10.688,19.6785,88.8365,65.8677,0.761143,0.760808,60.0,15.0
3.71966,13.5265,20.3903,5.62014,94.4407,1.08017,1.11712,60.0,15.0
13.6633,14.8724,14.3845,8.13417,3.70028,0.776209,0.775985,60.0,15.0
14.6642,34.0562,17.8351,61.4394,73.7812,2.40878,2.40633,60.0,15.0
0.0459144,20.7633,12.802,93.3934,63.4191,1.05548,1.05449,60.0,15.0
14.569,20.9592,19.628,86.722,17.5621,0.852314,0.853397,60.0,15.0
3.65196,28.5114,12.9101,12.7192,30.9461,1.53798,1.54116,60.0,15.0
12.4104,25.7475,16.6887,5.20435,29.9481,1.51927,1.53241,60.0,15.0
6.18445,22.9187,18.5829,46.8142,48.4235,1.20212,1.20136,60.0,15.0
0.561921,30.8207,12.8072,86.235,99.1151,2.18401,2.22552,60.0,15.0
18.88,39.3772,17.0792,7.64736,99.6705,4.44157,4.62551,60.0,15.0
7.49724,42.2164,20.3112,15.9405,14.6674,1.62718,1.63048,60.0,15.0
3.58385,40.14,16.0798,48.1949,81.725,3.0227,3.08602,60.0,15.0
14.6795,31.9393,21.615,56.0081,19.2023,1.28881,1.2916,60.0,15.0
2.75299,16.2996,18.9905,56.8213,40.9938,0.703286,0.70338,60.0,15.0
0.87532,31.1615,17.6981,81.904,9.21823,0.820009,0.823381,60.0,15.0
4.48589,43.2016,13.7236,91.3257,58.7605,2.60553,2.60479,60.0,15.0
3.84362,22.0095,16.5144,56.3741,45.6685,1.0887,1.08772,60.0,15.0
7.50729,31.3655,13.6935,47.7032,73.4017,2.36651,2.41097,60.0,15.0
10.6131,37.1993,12.4771,35.3252,40.7537,2.47387,2.47382,60.0,15.0
3.24265,39.0203,12.0246,32.2993,16.9957,1.59451,1.59698,60.0,15.0
12.8284,34.8708,12.1702,75.7917,22.3122,1.60355,1.60364,60.0,15.0
9.69331,29.8417,15.7207,76.6738,74.4087,1.99146,1.98726,60.0,15.0
1.24815,39.1908,19.6695,9.20404,18.2615,1.40609,1.40768,60.0,15.0
17.3694,23.4759,16.3815,40.8733,56.3986,1.74099,1.7455,60.0,15.0
3.95435,38.8775,21.9954,57.9333,14.2526,1.25835,1.25809,60.0,15.0
17.2509,28.1716,14.8994,49.3066,43.7954,1.86926,1.86554,60.0,15.0
8.64921,36.7837,20.0463,9.48131,92.1597,3.204,3.32117,60.0,15.0
2.48356,19.4578,19.0794,77.9718,51.1583,0.87243,0.872535,60.0,15.0
13.3058,34.6806,19.5966,37.5568,88.9767,2.74924,2.81053,60.0,15.0
14.2122,31.9904,12.4785,59.19,12.687,1.38214,1.38193,60.0,15.0
0.706884,26.8167,20.5764,13.848,73.8239,1.68723,1.72686,60.0,15.0
12.8558,25.6665,12.4215,14.96,17.265,1.41268,1.41609,60.0,15.0
14.6264,31.7724,14.6474,74.6497,31.2556,1.59687,1.59848,60.0,15.0
13.0653,20.4832,18.074,25.9844,43.0689,1.29548,1.29853,60.0,15.0
5.02926,34.2215,15.4233,5.98928,79.0824,3.10433,3.22584,60.0,15.0
2.72378,36.0143,15.8558,7.80733,68.3385,2.84784,2.94458,60.0,15.0
14.4793,20.8526,17.1783,98.7546,12.6691,0.822033,0.820044,60.0,15.0
12.4296,37.8532,17.0239,56.4274,61.141,2.51483,2.51114,60.0,15.0
8.10068,15.7336,13.5746,58.5152,34.8374,0.870057,0.869797,60.0,15.0
16.3675,42.1372,18.7607,78.421,44.1814,2.32454,2.32595,60.0,15.0
13.8715,39.8519,15.1421,58.2456,28.7745,2.02733,2.02905,60.0,15.0
18.3844,22.6563,21.6945,78.9338,1.97414,0.842029,0.8474,60.0,15.0
1.92162,15.7936,17.7409,83.9419,45.3444,0.665569,0.666176,60.0,15.0
2.17619,44.6621,21.9602,31.9949,33.9986,1.99839,1.99871,60.0,15.0
13.5454,35.2748,18.158,60.8324,45.5306,1.98052,1.98032,60.0,15.0
6.43955,27.1179,13.2793,87.0165,23.5595,1.06397,1.06471,60.0,15.0
12.7,33.532,12.044,71.04,99.7009,3.03366,3.10961,60.0,15.0
4.56763,18.0552,14.8681,9.18895,11.0166,0.686736,0.68671,60.0,15.0
15.9932,17.8715,19.6649,15.3094,3.02611,0.797833,0.794533,60.0,15.0
16.3482,36.2972,12.2017,44.4564,78.8238,3.4295,3.53117,60.0,15.0
11.3735,21.5876,16.1417,77.8731,13.907,0.84363,0.844345,60.0,15.0
16.76,24.1957,20.581,43.8615,65.6486,1.65511,1.65827,60.0,15.0
0.850175,38.1895,19.7757,41.1438,53.1822,2.01665,2.01494,60.0,15.0
11.2372,13.7848,21.2023,2.31851,98.5669,1.31547,1.35658,60.0,15.0
11.5294,22.7826,20.9728,93.182,27.6112,0.921095,0.92282,60.0,15.0
7.90655,43.8026,15.0564,58.3017,34.2234,2.29629,2.29864,60.0,15.0
6.37684,27.8955,17.6075,66.3564,12.0245,0.916447,0.917646,60.0,15.0
18.8505,31.9493,21.868,86.46,66.5497,1.9315,1.93125,60.0,15.0
10.4374,13.5398,16.7343,61.3438,38.4562,0.775838,0.775266,60.0,15.0
3.1326,18.3268,21.7944,28.8348,38.6248,0.780826,0.783091,60.0,15.0
14.3224,39.0782,13.0498,50.0553,39.8139,2.5205,2.52006,60.0,15.0
1.68396,38.6152,18.3454,15.2525,81.4545,3.03633,3.13227,60.0,15.0
15.4016,10.4428,19.2651,84.3087,47.2581,0.69437,0.694563,60.0,15.0
18.3224,15.8624,14.7495,64.6818,72.833,1.41148,1.41119,60.0,15.0
17.4196,23.3839,16.1598,94.241,58.9324,1.5048,1.50472,60.0,15.0
15.0492,26.468,15.6719,6.31379,54.4214,2.19543,2.2425,60.0,15.0
7.62201,12.135,15.7513,93.8075,62.0958,0.748319,0.748123,60.0,15.0
0.618189,13.0675,15.7584,16.8122,82.1191,0.966791,1.00124,60.0,15.0
7.58745,33.4903,14.2622,99.6508,81.212,2.20714,2.20255,60.0,15.0
4.87798,34.928,15.6906,35.7377,68.393,2.46104,2.50578,60.0,15.0
17.4517,23.7322,15.9429,68.0156,83.307,1.90973,1.91914,60.0,15.0
9.63142,26.395,18.2476,60.9462,66.0634,1.6388,1.6368,60.0,15.0
15.5328,12.5069,17.2229,49.2692,55.0479,0.994422,1.00026,60.0,15.0
1.2875,21.782,18.3019,27.7927,77.7132,1.40565,1.44098,60.0,15.0
19.3015,43.691,13.9932,2.54641,59.675,4.50088,4.63346,60.0,15.0
5.58324,13.4111,19.6461,43.5426,94.0514,0.980144,0.999635,60.0,15.0
8.96947,25.7808,17.2544,0.485197,89.462,2.46581,2.56535,60.0,15.0
17.6527,37.1826,18.7335,72.6538,1.62551,1.31778,1.31924,60.0,15.0
18.5404,35.8572,14.1782,6.10012,46.623,3.05261,3.11471,60.0,15.0
6.92084,25.0871,18.2958,66.5593,9.05266,0.804457,0.806358,60.0,15.0
0.323985,21.1655,16.9643,51.5325,64.644,1.14049,1.13875,60.0,15.0
12.6157,31.6407,15.4116,73.2935,1.93082,1.06891,1.06935,60.0,15.0
15.9386,43.0091,12.7173,53.5216,17.9245,2.10543,2.10557,60.0,15.0
14.0739,33.5984,21.8233,93.6247,63.5324,1.87057,1.87051,60.0,15.0
4.62533,34.1922,20.0348,74.7459,22.9248,1.20195,1.20038,60.0,15.0
11.4203,34.7476,13.1497,28.5409,85.6939,3.42628,3.55937,60.0,15.0
15.3693,14.8706,20.3938,51.6306,77.8071,1.15343,1.16347,60.0,15.0
7.75906,30.755,15.6215,23.2902,79.965,2.57132,2.65218,60.0,15.0
5.14486,29.05,19.479,79.6639,96.2124,1.89952,1.90484,60.0,15.0
14.3786,35.9691,19.2712,77.381,18.9654,1.43671,1.43888,60.0,15.0
15.1857,31.0799,16.3121,24.6981,11.3827,1.36339,1.36295,60.0,15.0
5.77842,24.9569,16.1871,82.0361,4.96505,0.734819,0.735288,60.0,15.0
13.9788,18.718,14.6808,42.7764,38.3782,1.24511,1.24567,60.0,15.0
1.70939,29.5381,21.0739,88.9452,31.6554,1.01458,1.01786,60.0,15.0
0.295047,43.972,18.7146,51.4725,21.1997,1.59353,1.59684,60.0,15.0
9.32106,39.3128,15.01,6.20199,92.179,4.31077,4.49867,60.0,15.0
6.08494,33.6614,19.6663,36.4672,68.9389,2.14421,2.16457,60.0,15.0
0.745816,42.5612,19.3811,58.5247,64.6723,2.5124,2.50912,60.0,15.0
0.402428,25.9282,12.6645,16.6947,82.3306,2.2655,2.37123,60.0,15.0
11.1954,23.2623,15.3126,6.12906,59.9701,1.97237,2.01368,60.0,15.0
4.62975,17.0298,17.553,32.7747,58.6441,1.02404,1.03347,60.0,15.0
12.0665,25.125,21.6305,59.8694,19.0361,0.980495,0.983335,60.0,15.0
1.31223,36.8839,18.7106,55.3639,20.0825,1.24239,1.24726,60.0,15.0
5.28445,15.5857,21.5178,72.5427,33.0031,0.614072,0.614864,60.0,15.0
11.7891,33.5068,12.8054,52.1388,3.92134,1.2296,1.23362,60.0,15.0
17.4619,15.2647,15.4214,19.4953,78.6548,1.65115,1.6925,60.0,15.0
8.81692,11.1169,17.2271,90.18,21.337,0.487425,0.488299,60.0,15.0
6.66992,27.0619,14.3805,68.8668,48.2879,1.487,1.48682,60.0,15.0
6.96697,37.6946,17.1858,54.2939,15.1298,1.37271,1.37593,60.0,15.0
17.1441,22.5521,16.7825,74.3973,1.1506,0.865206,0.869048,60.0,15.0
18.3538,42.7421,20.9684,70.5218,79.7069,3.06751,3.06465,60.0,15.0
7.21977,35.2564,20.2365,55.6043,88.0533,2.43946,2.46239,60.0,15.0
18.6612,21.9826,19.8801,65.3746,11.3555,0.934792,0.934411,60.0,15.0
15.3053,44.8497,17.5769,44.3484,7.57696,1.77886,1.77998,60.0,15.0
9.60125,44.0814,15.758,22.8151,94.8296,4.5268,4.69459,60.0,15.0
9.05143,12.8264,21.8176,58.0777,35.1806,0.614143,0.61423,60.0,15.0
7.56279,29.3271,16.8941,49.112,9.63295,1.00543,1.0067,60.0,15.0
13.4096,11.1631,15.1115,50.3154,89.146,1.12483,1.14546,60.0,15.0
5.24751,39.7463,15.8684,15.9271,6.1491,1.34748,1.34951,60.0,15.0
18.5958,22.6724,19.5329,75.6499,62.4245,1.48189,1.48179,60.0,15.0
18.1295,29.353,18.9875,85.6033,73.0129,1.94849,1.94766,60.0,15.0
17.947,41.1798,17.5812,41.3947,54.1188,2.87095,2.86852,60.0,15.0
4.16534,24.1425,16.2609,70.2151,53.8582,1.25851,1.25821,60.0,15.0
4.98252,15.1421,16.7403,95.7718,57.7625,0.784242,0.784234,60.0,15.0
14.238,39.7247,19.0266,96.4524,81.3543,2.66689,2.66166,60.0,15.0
6.97626,43.4049,19.558,7.83141,98.0436,4.1986,4.36547,60.0,15.0
16.1357,23.9068,21.4996,25.3797,41.9018,1.38923,1.39387,60.0,15.0
15.3203,36.7075,18.6952,40.7337,71.6619,2.70708,2.73379,60.0,15.0
8.37081,16.1454,17.3411,99.2304,82.3905,1.03207,1.03126,60.0,15.0
